4	0.409541	0.409541	0.409541	0.409541	0.409541	0.409541
9	0.383581	0.383581	0.383581	0.383581	0.383581	0.383581
14	0.074153	0.074153	0.074153	0.074153	0.074153	0.074153
19	0.075995	0.075995	0.075995	0.075995	0.075995	0.075995
24	0.361775	0.361775	0.361775	0.361775	0.361775	0.361775
29	0.163761	0.163761	0.163761	0.163761	0.163761	0.163761
34	0.255118	0.255118	0.255118	0.255118	0.255118	0.255118
39	0.087570	0.087570	0.087570	0.087570	0.087570	0.087570
44	0.077117	0.077117	0.077117	0.077117	0.077117	0.077117
49	0.098930	0.098930	0.098930	0.098930	0.098930	0.098930
54	0.139320	0.139320	0.139320	0.139320	0.139320	0.139320
59	0.112961	0.112961	0.112961	0.112961	0.112961	0.112961
64	0.170975	0.170975	0.170975	0.170975	0.170975	0.170975
69	0.192277	0.192277	0.192277	0.192277	0.192277	0.192277
74	0.085904	0.085904	0.085904	0.085904	0.085904	0.085904
79	0.058247	0.058247	0.058247	0.058247	0.058247	0.058247
3	0.057246	0.057246	0.057246	0.057246	0.057246	0.057246
8	0.057810	0.057810	0.057810	0.057810	0.057810	0.057810
13	0.056851	0.056851	0.056851	0.056851	0.056851	0.056851
18	0.094999	0.094999	0.094999	0.094999	0.094999	0.094999
23	0.069976	0.069976	0.069976	0.069976	0.069976	0.069976
28	0.047268	0.047268	0.047268	0.047268	0.047268	0.047268
33	0.105497	0.105497	0.105497	0.105497	0.105497	0.105497
38	0.060456	0.060456	0.060456	0.060456	0.060456	0.060456
43	0.070860	0.070860	0.070860	0.070860	0.070860	0.070860
48	0.051727	0.051727	0.051727	0.051727	0.051727	0.051727
53	0.082106	0.082106	0.082106	0.082106	0.082106	0.082106
58	0.075611	0.075611	0.075611	0.075611	0.075611	0.075611
63	0.034251	0.034251	0.034251	0.034251	0.034251	0.034251
68	0.092345	0.092345	0.092345	0.092345	0.092345	0.092345
73	0.027827	0.027827	0.027827	0.027827	0.027827	0.027827
78	0.029300	0.029300	0.029300	0.029300	0.029300	0.029300
2	0.045295	0.045295	0.045295	0.045295	0.045295	0.045295
7	0.040724	0.040724	0.040724	0.040724	0.040724	0.040724
12	0.063548	0.063548	0.063548	0.063548	0.063548	0.063548
17	0.136178	0.136178	0.136178	0.136178	0.136178	0.136178
22	0.035905	0.035905	0.035905	0.035905	0.035905	0.035905
27	0.039424	0.039424	0.039424	0.039424	0.039424	0.039424
32	0.061694	0.061694	0.061694	0.061694	0.061694	0.061694
37	0.046264	0.046264	0.046264	0.046264	0.046264	0.046264
42	0.023032	0.023032	0.023032	0.023032	0.023032	0.023032
47	0.058265	0.058265	0.058265	0.058265	0.058265	0.058265
52	0.166792	0.166792	0.166792	0.166792	0.166792	0.166792
57	0.136668	0.136668	0.136668	0.136668	0.136668	0.136668
62	0.180548	0.180548	0.180548	0.180548	0.180548	0.180548
67	0.036472	0.036472	0.036472	0.036472	0.036472	0.036472
72	0.149564	0.149564	0.149564	0.149564	0.149564	0.149564
77	0.043514	0.043514	0.043514	0.043514	0.043514	0.043514
1	0.103450	0.103450	0.103450	0.103450	0.103450	0.103450
6	0.024704	0.024704	0.024704	0.024704	0.024704	0.024704
11	0.024030	0.024030	0.024030	0.024030	0.024030	0.024030
16	0.041056	0.041056	0.041056	0.041056	0.041056	0.041056
21	0.021180	0.021180	0.021180	0.021180	0.021180	0.021180
26	0.039157	0.039157	0.039157	0.039157	0.039157	0.039157
31	0.129866	0.129866	0.129866	0.129866	0.129866	0.129866
36	0.051750	0.051750	0.051750	0.051750	0.051750	0.051750
41	0.048451	0.048451	0.048451	0.048451	0.048451	0.048451
46	0.036582	0.036582	0.036582	0.036582	0.036582	0.036582
51	0.084104	0.084104	0.084104	0.084104	0.084104	0.084104
56	0.036715	0.036715	0.036715	0.036715	0.036715	0.036715
61	0.027935	0.027935	0.027935	0.027935	0.027935	0.027935
66	0.040377	0.040377	0.040377	0.040377	0.040377	0.040377
71	0.018170	0.018170	0.018170	0.018170	0.018170	0.018170
76	0.139036	0.139036	0.139036	0.139036	0.139036	0.139036
0	0.023765	0.023765	0.023765	0.023765	0.023765	0.023765
5	0.035489	0.035489	0.035489	0.035489	0.035489	0.035489
10	0.041307	0.041307	0.041307	0.041307	0.041307	0.041307
15	0.253686	0.253686	0.253686	0.253686	0.253686	0.253686
20	0.022220	0.022220	0.022220	0.022220	0.022220	0.022220
25	0.024777	0.024777	0.024777	0.024777	0.024777	0.024777
30	0.107931	0.107931	0.107931	0.107931	0.107931	0.107931
35	0.226605	0.226605	0.226605	0.226605	0.226605	0.226605
